Category: All categories

Time,dispensary: (Colorado),dispensaries: (Colorado),dispensary + dispensaries: (Colorado)
2017-02-08T21,43,10,52
2017-02-08T22,34,10,41
2017-02-08T23,24,8,32
2017-02-09T00,27,8,34
2017-02-09T01,31,7,36
2017-02-09T02,25,3,27
2017-02-09T03,25,2,27
2017-02-09T04,29,3,32
2017-02-09T05,19,4,22
2017-02-09T06,28,3,31
2017-02-09T07,24,9,33
2017-02-09T08,38,6,45
2017-02-09T09,25,8,31
2017-02-09T10,31,9,39
2017-02-09T11,33,8,40
2017-02-09T12,34,10,42
2017-02-09T13,32,10,41
2017-02-09T14,44,11,54
2017-02-09T15,41,11,51
2017-02-09T16,46,14,58
2017-02-09T17,53,12,65
2017-02-09T18,51,12,61
2017-02-09T19,60,15,73
2017-02-09T20,55,14,67
2017-02-09T21,47,14,58
2017-02-09T22,33,13,45
2017-02-09T23,31,8,38
2017-02-10T00,25,12,35
2017-02-10T01,36,8,44
2017-02-10T02,25,8,32
2017-02-10T03,29,13,40
2017-02-10T04,3,6,9
2017-02-10T05,31,8,38
2017-02-10T06,30,3,33
2017-02-10T07,11,11,21
2017-02-10T08,32,10,40
2017-02-10T09,30,10,37
2017-02-10T10,36,11,46
2017-02-10T11,39,10,47
2017-02-10T12,43,12,53
2017-02-10T13,45,15,58
2017-02-10T14,44,12,55
2017-02-10T15,43,9,51
2017-02-10T16,55,15,69
2017-02-10T17,54,15,66
2017-02-10T18,70,23,89
2017-02-10T19,82,23,99
2017-02-10T20,78,23,99
2017-02-10T21,59,19,75
2017-02-10T22,56,16,70
2017-02-10T23,48,15,62
2017-02-11T00,31,11,42
2017-02-11T01,33,12,45
2017-02-11T02,33,9,42
2017-02-11T03,25,5,31
2017-02-11T04,30,11,38
2017-02-11T05,32,7,39
2017-02-11T06,22,11,22
2017-02-11T07,37,16,53
2017-02-11T08,46,15,59
2017-02-11T09,54,13,67
2017-02-11T10,66,20,82
2017-02-11T11,59,19,76
2017-02-11T12,53,22,74
2017-02-11T13,66,15,80
2017-02-11T14,72,19,89
2017-02-11T15,75,19,91
2017-02-11T16,84,19,100
2017-02-11T17,75,20,92
2017-02-11T18,71,24,91
2017-02-11T19,74,21,94
2017-02-11T20,64,18,79
2017-02-11T21,52,19,67
2017-02-11T22,46,12,57
2017-02-11T23,40,10,48
2017-02-12T00,38,12,47
2017-02-12T01,31,9,37
2017-02-12T02,28,6,33
2017-02-12T03,25,10,35
2017-02-12T04,18,5,23
2017-02-12T05,42,14,53
2017-02-12T06,31,16,43
2017-02-12T07,18,12,29
2017-02-12T08,43,6,49
2017-02-12T09,45,11,54
2017-02-12T10,50,18,67
2017-02-12T11,57,20,74
2017-02-12T12,57,14,68
2017-02-12T13,58,18,74
2017-02-12T14,58,14,70
2017-02-12T15,57,10,66
2017-02-12T16,60,13,72
2017-02-12T17,64,13,75
2017-02-12T18,55,13,67
2017-02-12T19,60,12,71
2017-02-12T20,45,12,56
2017-02-12T21,38,10,48
2017-02-12T22,25,8,32
2017-02-12T23,22,9,29
2017-02-13T00,21,6,26
2017-02-13T01,17,12,27
2017-02-13T02,22,5,28
2017-02-13T03,27,3,27
2017-02-13T04,22,3,25
2017-02-13T05,12,12,24
2017-02-13T06,20,7,27
2017-02-13T07,13,8,21
2017-02-13T08,24,8,32
2017-02-13T09,27,7,34
2017-02-13T10,27,6,33
2017-02-13T11,29,9,37
2017-02-13T12,31,6,35
2017-02-13T13,38,10,47
2017-02-13T14,35,12,45
2017-02-13T15,36,8,43
2017-02-13T16,46,11,55
2017-02-13T17,45,11,54
2017-02-13T18,48,12,58
2017-02-13T19,55,15,67
2017-02-13T20,48,12,59
2017-02-13T21,37,9,44
2017-02-13T22,29,10,37
2017-02-13T23,26,5,29
2017-02-14T00,25,5,29
2017-02-14T01,30,7,34
2017-02-14T02,25,3,27
2017-02-14T03,21,2,23
2017-02-14T04,13,13,23
2017-02-14T05,31,8,39
2017-02-14T06,40,10,40
2017-02-14T07,18,12,28
2017-02-14T08,20,6,25
2017-02-14T09,31,5,35
2017-02-14T10,32,10,40
2017-02-14T11,28,6,34
2017-02-14T12,37,6,42
2017-02-14T13,33,8,41
2017-02-14T14,36,12,47
2017-02-14T15,37,9,44
2017-02-14T16,40,10,48
2017-02-14T17,45,16,58
2017-02-14T18,50,12,60
2017-02-14T19,52,13,62
2017-02-14T20,52,15,66
2017-02-14T21,36,13,48
2017-02-14T22,35,10,42
2017-02-14T23,26,7,31
2017-02-15T00,22,6,27
2017-02-15T01,17,5,22
2017-02-15T02,34,12,43
2017-02-15T03,17,10,24
2017-02-15T04,17,10,27
2017-02-15T05,21,8,29
2017-02-15T06,4,7,11
2017-02-15T07,23,6,29
2017-02-15T08,24,4,28
2017-02-15T09,28,6,34
2017-02-15T10,29,8,37
2017-02-15T11,32,8,39
2017-02-15T12,32,9,41
2017-02-15T13,39,11,48
2017-02-15T14,37,12,48
2017-02-15T15,36,13,47
2017-02-15T16,43,12,53
2017-02-15T17,48,14,60
2017-02-15T18,52,13,62
2017-02-15T19,60,18,76
