Category: All categories

Time,dispensary: (Washington),dispensaries: (Washington),dispensary + dispensaries: (Washington)
2017-02-08T21,52,25,73
2017-02-08T22,47,14,61
2017-02-08T23,43,12,54
2017-02-09T00,42,11,51
2017-02-09T01,40,34,73
2017-02-09T02,51,8,57
2017-02-09T03,51,13,63
2017-02-09T04,31,26,57
2017-02-09T05,22,7,30
2017-02-09T06,56,8,56
2017-02-09T07,41,8,49
2017-02-09T08,23,9,33
2017-02-09T09,8,5,13
2017-02-09T10,30,10,39
2017-02-09T11,47,15,62
2017-02-09T12,31,17,48
2017-02-09T13,42,12,51
2017-02-09T14,30,10,39
2017-02-09T15,38,17,55
2017-02-09T16,29,16,44
2017-02-09T17,41,17,55
2017-02-09T18,43,12,54
2017-02-09T19,50,19,68
2017-02-09T20,41,15,56
2017-02-09T21,47,20,65
2017-02-09T22,47,11,57
2017-02-09T23,38,21,60
2017-02-10T00,43,24,65
2017-02-10T01,56,16,71
2017-02-10T02,55,22,74
2017-02-10T03,31,22,53
2017-02-10T04,34,20,54
2017-02-10T05,72,7,80
2017-02-10T06,44,27,71
2017-02-10T07,32,8,40
2017-02-10T08,20,10,30
2017-02-10T09,19,8,24
2017-02-10T10,29,23,52
2017-02-10T11,31,14,44
2017-02-10T12,30,12,41
2017-02-10T13,30,16,44
2017-02-10T14,36,19,54
2017-02-10T15,43,20,61
2017-02-10T16,40,15,53
2017-02-10T17,53,29,81
2017-02-10T18,40,24,61
2017-02-10T19,60,20,78
2017-02-10T20,55,30,83
2017-02-10T21,71,30,100
2017-02-10T22,61,29,88
2017-02-10T23,65,36,98
2017-02-11T00,64,35,98
2017-02-11T01,32,32,62
2017-02-11T02,67,29,97
2017-02-11T03,49,47,90
2017-02-11T04,43,13,56
2017-02-11T05,58,19,77
2017-02-11T06,26,35,62
2017-02-11T07,48,19,68
2017-02-11T08,52,15,67
2017-02-11T09,32,27,59
2017-02-11T10,34,22,54
2017-02-11T11,36,8,43
2017-02-11T12,38,22,60
2017-02-11T13,47,17,62
2017-02-11T14,56,23,78
2017-02-11T15,54,23,75
2017-02-11T16,45,26,70
2017-02-11T17,63,35,97
2017-02-11T18,55,30,84
2017-02-11T19,62,31,93
2017-02-11T20,59,39,95
2017-02-11T21,49,26,73
2017-02-11T22,55,28,78
2017-02-11T23,55,29,81
2017-02-12T00,60,38,96
2017-02-12T01,59,21,79
2017-02-12T02,47,37,77
2017-02-12T03,56,20,76
2017-02-12T04,52,4,56
2017-02-12T05,24,6,31
2017-02-12T06,21,18,41
2017-02-12T07,21,31,51
2017-02-12T08,29,27,27
2017-02-12T09,38,33,71
2017-02-12T10,37,14,51
2017-02-12T11,43,24,67
2017-02-12T12,45,28,71
2017-02-12T13,39,20,59
2017-02-12T14,42,27,69
2017-02-12T15,54,23,74
2017-02-12T16,40,18,57
2017-02-12T17,55,18,71
2017-02-12T18,62,37,98
2017-02-12T19,40,29,64
2017-02-12T20,56,27,81
2017-02-12T21,45,24,67
2017-02-12T22,58,24,81
2017-02-12T23,50,20,68
2017-02-13T00,39,22,60
2017-02-13T01,35,13,48
2017-02-13T02,36,35,69
2017-02-13T03,22,22,41
2017-02-13T04,31,21,52
2017-02-13T05,62,23,85
2017-02-13T06,39,9,39
2017-02-13T07,18,9,27
2017-02-13T08,22,11,33
2017-02-13T09,29,9,35
2017-02-13T10,17,18,35
2017-02-13T11,32,13,44
2017-02-13T12,20,12,30
2017-02-13T13,27,13,38
2017-02-13T14,48,10,57
2017-02-13T15,35,20,53
2017-02-13T16,42,16,56
2017-02-13T17,41,21,60
2017-02-13T18,40,22,60
2017-02-13T19,50,24,73
2017-02-13T20,50,28,75
2017-02-13T21,55,21,74
2017-02-13T22,35,23,58
2017-02-13T23,35,18,52
2017-02-14T00,36,18,50
2017-02-14T01,44,25,63
2017-02-14T02,23,23,44
2017-02-14T03,44,34,68
2017-02-14T04,22,22,38
2017-02-14T05,24,8,32
2017-02-14T06,8,13,17
2017-02-14T07,8,17,17
2017-02-14T08,20,10,26
2017-02-14T09,22,14,36
2017-02-14T10,26,13,37
2017-02-14T11,21,11,31
2017-02-14T12,31,14,43
2017-02-14T13,31,17,48
2017-02-14T14,21,13,32
2017-02-14T15,33,15,48
2017-02-14T16,41,19,60
2017-02-14T17,46,20,66
2017-02-14T18,46,16,61
2017-02-14T19,45,24,66
2017-02-14T20,29,10,39
2017-02-14T21,50,22,71
2017-02-14T22,45,20,66
2017-02-14T23,56,29,84
2017-02-15T00,51,22,72
2017-02-15T01,51,25,75
2017-02-15T02,31,17,46
2017-02-15T03,53,21,70
2017-02-15T04,23,11,34
2017-02-15T05,65,16,81
2017-02-15T06,10,10,19
2017-02-15T07,8,5,8
2017-02-15T08,20,5,25
2017-02-15T09,43,5,46
2017-02-15T10,28,6,34
2017-02-15T11,28,12,40
2017-02-15T12,33,11,43
2017-02-15T13,30,14,44
2017-02-15T14,48,7,55
2017-02-15T15,34,15,48
2017-02-15T16,32,9,40
2017-02-15T17,38,17,53
2017-02-15T18,42,10,51
2017-02-15T19,51,18,67
