Category: All categories

Region,weed + pot + cannabis + marijuana: (11/8/16 - 11/8/16)
Maine,100
Alaska,98
New Hampshire,94
Montana,91
Nevada,86
Colorado,84
North Dakota,83
Arizona,81
Massachusetts,81
Rhode Island,81
Vermont,80
Arkansas,79
Iowa,74
Washington,74
Florida,73
Kentucky,69
Delaware,67
California,67
Missouri,66
Oregon,64
Idaho,64
Michigan,63
West Virginia,63
Indiana,63
Louisiana,62
Nebraska,61
Wisconsin,61
Oklahoma,60
District of Columbia,60
Wyoming,60
Minnesota,60
North Carolina,60
South Carolina,60
Connecticut,59
Pennsylvania,59
Ohio,59
Illinois,59
Maryland,58
Tennessee,58
New Mexico,58
Alabama,55
Virginia,55
Hawaii,54
New Jersey,54
Georgia,53
New York,53
South Dakota,46
Texas,45
Mississippi,43
Kansas,42
Utah,40
